main,sub,lat,lon,medium_desc,tucci_story,tags,source_url,
Aci Castello,Centro Storico,37.555,15.1498,"Seaside town under Etna’s shadow, known for its Norman castle and black lava cliffs.",Basalt and salt in the air; a plastic cup of espresso trembles as the sea breathes below.,acicastello;historic;coastal;castle;etna,https://en.wikipedia.org/wiki/Aci_Castello,
Aci Castello,Aci Trezza,37.5595,15.162,A fishing village lined with small boats and the mythic Faraglioni rocks of the Odyssey.,"The scent of octopus on charcoal, voices on the wind, and stories that never end.",acitrezza;harbor;mythic;seafood;heritage,https://en.wikipedia.org/wiki/Aci_Trezza,
Aci Castello,Ficarazzi,37.568,15.13,Quiet residential quarter with citrus-scented streets and Etna shimmering behind the rooftops.,A dog naps in the afternoon heat; time moves at the pace of a slow heartbeat.,acicastello;suburb;local-life;etna-view;quiet,https://it.wikipedia.org/wiki/Ficarazzi_(Aci_Castello),
Aci Castello,Cannizzaro,37.537,15.118,Elegant coastal district between Catania and Aci Castello; known for rocky beaches and sea views.,"Coffee, stone, and sea — everything you need for a long Sicilian conversation.",acicastello;neighborhood;beach;urban;relax,"https://en.wikipedia.org/wiki/Cannizzaro,_Aci_Castello",
Aci Castello,Capo Mulini,37.611,15.176,"Tiny harbor village between Acireale and Aci Castello, lined with seafood trattorie and lava cliffs.","Laughter under the awnings, grilled fish, and the slow applause of the tide.",acireale;harbor;seafood;coastal;relax,https://en.wikipedia.org/wiki/Capo_Mulini,
Aci Trezza,Isole dei Ciclopi,37.562,15.165,"Small volcanic islets off Aci Trezza — part myth, part geological marvel.",The sea speaks like an old uncle telling stories he’s told too many times.,acitrezza;islets;nature;snorkeling;mythology,https://en.wikipedia.org/wiki/Cyclopean_Islands,
Aci Trezza,Faraglioni di Aci Trezza,37.561,15.162,"Iconic basalt rocks rising from the sea — photographed endlessly, loved eternally.","Sun on the lens, laughter on the pier, and a camera that won’t rest.",acitrezza;rocks;scenic;heritage;coastline,https://en.wikipedia.org/wiki/Aci_Trezza,
Aci Trezza,Lungomare dei Ciclopi,37.56,15.16,"Coastal promenade lined with bars, small boats, and basalt walls glowing at sunset.","Plastic cups of beer, kids on bikes, guitar strings in the evening wind.",acitrezza;seafront;walk;sunset;local-life,https://en.wikipedia.org/wiki/Aci_Trezza,
Acireale,Centro Storico,37.613,15.164,"Baroque hill town of churches, marble facades, and almond pastries by the sea.","The bells ring like applause, and sugar drifts through the morning light.",acireale;historic;baroque;city-center;culture,https://en.wikipedia.org/wiki/Acireale,
Acireale,Santa Maria la Scala,37.611,15.169,"Tiny harbor below Acireale, carved from black rock — fishermen, silence, and salt.",Two old men mend their nets; the sea purrs like a well-fed cat.,acireale;harbor;fishing;quiet;authentic,"https://en.wikipedia.org/wiki/Santa_Maria_la_Scala,_Acireale",
Acireale,Stazzo,37.639,15.183,"Quiet fishing hamlet with pastel houses, lava rock piers, and calm blue mornings.","Anchors drying on the wall, coffee in chipped cups, and time that smells of salt.",acireale;fishing-village;harbor;quiet;authentic,https://it.wikipedia.org/wiki/Stazzo_(Acireale),
Acireale,Pozzillo,37.675,15.183,Tiny seaside village with volcanic rock beaches and clear deep water.,Waves break like slow applause; locals dive from the rocks without looking first.,acireale;seaside;swim;volcanic;local-life,https://it.wikipedia.org/wiki/Pozzillo_(Acireale),
Acireale,Guardia,37.622,15.152,"Residential quarter between the coast and Etna’s slopes; honest, unpolished, real.","Laundry in the wind, radios playing, and the hum of scooters climbing home.",acireale;suburb;local-life;etna-view;authentic,https://it.wikipedia.org/wiki/Guardia_(Acireale),
Acireale,Pennisi,37.628,15.119,A peaceful inland frazione surrounded by lemon groves and dry stone walls.,"The scent of citrus, a barking dog, and the quiet dignity of Sicilian countryside.",acireale;village;countryside;citrus;slow-life,https://it.wikipedia.org/wiki/Pennisi_(Acireale),
Adrano,Centro Storico,37.663,14.833,"Etna’s gateway town with narrow alleys, baroque façades and volcanic stone streets.","Afternoon heat rises from the cobbles — history sweats here, beautifully.",adrano;historic;etna;city-center;baroque,https://en.wikipedia.org/wiki/Adrano,
Adrano,Castello Normanno,37.664,14.834,Imposing Norman fortress guarding the valley; lava walls glowing in evening light.,"A castle born of fire, still standing, still stubborn as every Sicilian heart.",adrano;castle;heritage;landmark;lava-stone,https://en.wikipedia.org/wiki/Adrano_Castle,
Adrano,Ponte dei Saraceni,37.664,14.817,Ancient lava-stone bridge over the Simeto river; wild beauty and myth entwined.,"The sound of water below, cicadas above, and a story older than the bridge itself.",adrano;bridge;river;heritage;outdoors,https://en.wikipedia.org/wiki/Ponte_dei_Saraceni,
Adrano,Contrada Naviccia,37.6658,14.826,Quiet rural district outside Adrano with olive trees and low stone walls.,The air tastes of dust and olives; even the wind moves slowly here.,adrano;rural;countryside;olive;etna,MISSING,
Agrigento,Centro Storico,37.31,13.576,"Hilltop maze of alleys, churches, and balconies overlooking the Valley of the Temples.","Marble steps, laundry lines, and the smell of almond pastries and memory.",agrigento;historic;baroque;city-center;viewpoint,https://en.wikipedia.org/wiki/Agrigento,
Agrigento,Valle dei Templi,37.292,13.583,Archaeological park of Doric temples glowing gold at sunset.,"Columns against the sky — timeless, fragile, divine in the fading light.",agrigento;unesco;temples;archaeology;sunset,https://en.wikipedia.org/wiki/Valley_of_the_Temples,
Agrigento,Villaggio Mosè,37.29,13.582,Modern quarter south of Agrigento with restaurants and hotels near the temples.,"Less ancient, more alive — espresso machines hiss where gods once ruled.",agrigento;modern;suburb;dining;temple-district,https://it.wikipedia.org/wiki/Villaggio_Mosè,
Agrigento,Montaperto,37.334,13.548,Hilltop hamlet overlooking olive valleys west of Agrigento.,"Late light over olive trees, a dog barking somewhere, and silence that feels earned.",agrigento;village;hill;olive;quiet,https://it.wikipedia.org/wiki/Montaperto_(Agrigento),
Agrigento,Rupe Atenea,37.309,13.569,"Ancient rocky ridge once sacred to Athena, now a viewpoint above the old city.","Wind through ruined stones, whispers of gods, and one lone pigeon claiming eternity.",agrigento;archaeology;viewpoint;heritage;mythology,https://it.wikipedia.org/wiki/Rupe_Atenea,
Alicudi,Alicudi Porto,38.548,14.351,"Tiny harbor of the westernmost Aeolian island — boats, baskets, and solitude.","Salt crust on the steps, laughter from one boat, and then nothing but sea again.",alicudi;harbor;island;aeolian;remote,https://en.wikipedia.org/wiki/Alicudi,
Alicudi,Contrada Tonna,38.549,14.354,Cluster of stone houses climbing the slope above the port.,"Donkeys instead of cars, thyme instead of exhaust, time instead of rush.",alicudi;village;mountain;tradition;slow-life,MISSING,
Alicudi,Contrada Sgurbio,38.547,14.352,"One of the smallest settlements on the island; wind-sculpted, raw, eternal.","The smell of bread and seaweed, both older than anyone alive.",alicudi;hamlet;rustic;seaside;authentic,MISSING,
Alicudi,Contrada Bazzina,38.546,14.349,Rocky cove and old fishermen’s huts; turquoise water between black cliffs.,"The sea breathes heavy here, like a creature half asleep.",alicudi;cove;sea;fishing;wild,https://it.wikipedia.org/wiki/Bazzina_(Alicudi),
Alicudi,Montagna,38.55,14.355,Upper ridge of Alicudi with sweeping views of all the Aeolian chain.,"You climb until the wind forgives you, and the horizon finally smiles.",alicudi;mountain;viewpoint;hiking;nature,MISSING,
Augusta,Isola di Augusta,37.236,15.223,Historic fortified island forming the old town of Augusta.,"Cannon walls, sea gates, and the scent of diesel and history mixed together.",augusta;island;fortress;harbor;historic,"https://en.wikipedia.org/wiki/Augusta,_Sicily",
Augusta,Brucoli,37.268,15.18,Colorful seaside village north of Augusta with a canal and Norman tower.,"Tables on the water, chatter, grilled swordfish, and a breeze that forgives everything.",augusta;village;harbor;seafood;romantic,https://en.wikipedia.org/wiki/Brucoli,
Augusta,Megara Hyblaea (archaeological site),37.223,15.18,"Ruins of an ancient Greek colony, quiet fields now where columns once stood.","Cicadas drone, wheat bends, and history keeps its secrets under the soil.",augusta;archaeology;greek;unesco;heritage,https://en.wikipedia.org/wiki/Megara_Hyblaea,
Augusta,Faro Santa Croce,37.228,15.245,White lighthouse on the edge of the bay; waves crash beneath the cliffs.,Every gust feels like a conversation with the sea.,augusta;lighthouse;coast;photography;solitude,https://it.wikipedia.org/wiki/Faro_Santa_Croce,
Augusta,Monte Tauro,37.249,15.237,Hill overlooking Augusta’s gulf and industrial horizon; raw and cinematic.,"Smoke, salt, and sunset make strange company, but it works.",augusta;hill;view;contrast;industrial,MISSING,
Avola,Avola Antica,36.925,15.083,Ruins of the medieval town on the hillside above modern Avola.,Wild herbs growing through old walls; the air smells of thyme and loss.,avola;ruins;historic;hill;archeology,https://en.wikipedia.org/wiki/Avola_Antica,
Avola,Pantanello,36.904,15.132,"Family beach with shallow water, bars, and laughter echoing off the sea.","Umbrellas bloom, children shout, the Mediterranean hums like a radio.",avola;beach;family;summer;local-life,MISSING,
Avola,Gallina,36.889,15.16,Tranquil coastal area south of Avola with clear water and limestone cliffs.,"Waves whisper to the rocks — promises, maybe regrets.",avola;coast;snorkeling;quiet;natural,MISSING,
Avola,Borgellusa,36.9104,15.1382,"Residential district near the old center, ordinary in the best Sicilian way.","Here, espresso and gossip share the same table every morning.",avola;neighborhood;local-life;urban;authentic,MISSING,
Bagheria,Aspra,38.1048,13.4988,"Fishing village east of Palermo, famous for sardines and sea air.",Boats rocking like old men telling jokes they’ve told for years.,bagheria;harbor;fishing;seafood;authentic,https://en.wikipedia.org/wiki/Aspra,
Bagheria,Mongerbino,38.096,13.535,"Coastal cliff area between Aspra and Solanto; small villas, big views.","Cicadas, sunscreen, and the smell of grilled peppers on the terrace.",bagheria;coast;villa;relax;summer,https://it.wikipedia.org/wiki/Mongerbino,
Bagheria,Solanto,38.0752,13.5394,Tiny harbor with an old Bourbon fortress and deep turquoise water.,A castle reflected in water so clear it feels undeserved.,bagheria;harbor;castle;historic;romantic,https://en.wikipedia.org/wiki/Solanto,
Bagheria,Villa Palagonia,38.079,13.5122,Baroque villa famed for its grotesque statues and aristocratic eccentricity.,Marble monsters grin; you grin back — Sicily’s sense of humor in stone.,bagheria;villa;baroque;architecture;historic,https://en.wikipedia.org/wiki/Villa_Palagonia,
Bagheria,Centro Storico,38.08028,13.50861,Bustling market streets and palazzi from the golden age of merchants.,"Noise, fruit, perfume, chaos — all perfectly choreographed.",bagheria;historic;market;urban;culture,https://en.wikipedia.org/wiki/Bagheria,
Bagheria,Monte Catalfano,38.108675,13.516527,Natural park rising above Bagheria with hiking paths and sea views.,"Wind, thyme, and the shimmer of Palermo Bay below.",bagheria;park;nature;hiking;viewpoint,https://it.wikipedia.org/wiki/Monte_Catalfano,
Bronte,Maniace,37.815,14.813,"Rural village built around Nelson’s 18th-century castle, wrapped in orchards.","Stone walls, green valleys, and echoes of British ghosts speaking Italian.",bronte;castle;heritage;orchard;historic,https://en.wikipedia.org/wiki/Maniace,
Bronte,Capizzi Vecchia,37.802,14.826,Ancient hillside hamlet overlooking Etna’s lava fields; quiet and timeless.,"The sky feels larger here, and even silence has a Sicilian accent.",bronte;village;mountain;heritage;etna,MISSING,
Butera,Centro Storico,37.191,14.123,"Medieval core on a rocky hill, stone lanes and orange-tiled rooftops.","Old women on doorsteps, gossip and blessings in the same sentence.",butera;historic;hilltown;heritage;local-life,https://en.wikipedia.org/wiki/Butera,
Butera,Piano Marina,37.156,14.168,Flat coastal strip south of town; quiet beaches and olive groves.,"Wind in the reeds, a lone umbrella, the hum of August laziness.",butera;beach;coastal;quiet;olive,https://it.wikipedia.org/wiki/Piano_Marina_(Butera),
Butera,Falconara,37.145,14.178,Seaside fortress and hidden coves between cliffs and fields.,Salt-bleached walls and laughter carried by the sea breeze.,butera;castle;coast;romantic;heritage,https://en.wikipedia.org/wiki/Castello_di_Falconara,
Butera,Desusino,37.145,14.189,Low sandy beach near Butera with a sleepy summer rhythm.,Barefoot steps on hot sand and no one keeping time.,butera;beach;relax;summer;quiet,https://it.wikipedia.org/wiki/Desusino,
Butera,Piano della Fiera,37.1608,14.1459,"Rural plain used for markets and fairs, still edged by olive trees.","The dust of trade days lingers, soft as memory.",butera;plain;tradition;market;countryside,MISSING,
Caltagirone,Centro Storico,37.239,14.515,"City of ceramics and baroque façades, tiled stairs and echoing bells.","Clay under fingernails, light on glazed color — art born from earth.",caltagirone;historic;ceramics;baroque;city-center,https://en.wikipedia.org/wiki/Caltagirone,
Caltagirone,Scala di Santa Maria del Monte,37.234,14.515,Majestic staircase of hand-painted tiles climbing to the old quarter.,"Each step a story, each color a confession.",caltagirone;landmark;stairs;ceramics;unesco,https://en.wikipedia.org/wiki/Scala_di_Santa_Maria_del_Monte_(Caltagirone),
Caltagirone,Santo Pietro,37.152,14.608,"Forest reserve south of town — oak, silence, and old shepherd paths.",Pine scent and distant bells; even the wind seems devout.,caltagirone;forest;hiking;nature;reserve,https://it.wikipedia.org/wiki/Santo_Pietro_(Caltagirone),
Caltagirone,Granieri,37.176,14.537,Small wine-growing hamlet producing Nero d’Avola grapes.,The afternoon hums with bees and fermenting promise.,caltagirone;village;wine;agriculture;local-life,https://it.wikipedia.org/wiki/Granieri_(Caltagirone),
Caltagirone,Piano San Paolo,37.2444,14.5086,Rural district between hills and fields; quiet farmland and sun-bleached walls.,"Dust, sunlight, and dignity — Sicily distilled.",caltagirone;countryside;farm;quiet;authentic,MISSING,
Caltanissetta,Centro Storico,37.491,14.062,"Heart of inland Sicily — balconies, bakeries, and baroque churches.","Every corner smells of bread, faith, and diesel.",caltanissetta;historic;city-center;baroque;inland,https://en.wikipedia.org/wiki/Caltanissetta,
Caltanissetta,Santa Flavia,37.489,14.073,"Residential quarter east of the center, calm and domestic.",Laundry on lines and coffee cups clinking at noon.,caltanissetta;suburb;local-life;quiet;authentic,MISSING,
Caltanissetta,Balate,37.494,14.051,Green belt west of the city with orchards and winding roads.,"Sunlight through olive leaves — unremarkable, unforgettable.",caltanissetta;countryside;orchard;quiet;view,MISSING,
Caltanissetta,Sant’Anna,37.492,14.058,"Hospital district on the hill, wide view over valleys and wind turbines.",Even recovery here feels theatrical.,caltanissetta;hill;modern;view;urban,MISSING,
Caltanissetta,Contrada Mimiani,37.48,14.046,Rural area with wheat fields and isolated farmhouses.,The horizon wavers like a memory half-kept.,caltanissetta;countryside;wheat;agriculture;quiet,MISSING,
Capo d’Orlando,San Gregorio,38.146,14.726,Elegant seaside strip with villas and small coves.,The sea lies just beyond the garden gate.,capodorlando;beach;villas;relax;seaside,https://en.wikipedia.org/wiki/Capo_d%27Orlando,
Capo d’Orlando,Testa di Monaco,38.142,14.738,Headland south of town with trails and panoramic views.,Waves and wind argue who loves Sicily more.,capodorlando;viewpoint;hiking;coast;nature,MISSING,
Capo d’Orlando,Scafa Bassa,38.14,14.72,"Residential area near the beach, calm and lived-in.",Barefoot children and dinner smells drifting from balconies.,capodorlando;suburb;local-life;beach;quiet,MISSING,
Capo d’Orlando,Piscittina,38.144,14.734,"Upland neighborhood between sea and hills, olive trees and gardens.","The sound of sprinklers, the scent of lemons, a normal perfect day.",capodorlando;neighborhood;green;urban;authentic,MISSING,
Caronia,Centro Storico,38.017,14.467,Medieval hill village overlooking the Tyrrhenian coast.,"Stone lanes, church bells, and the smell of wood smoke.",caronia;village;historic;hill;authentic,https://en.wikipedia.org/wiki/Caronia,
Caronia,Marina di Caronia,38.029,14.471,Coastal extension with fishing boats and pebble beaches.,Fish nets drying like flags of another nation.,caronia;harbor;fishing;coastal;quiet,https://it.wikipedia.org/wiki/Marina_di_Caronia,
Caronia,Caronia Superiore,38.03,14.464,Upper medieval quarter above the modern town.,"Cobblestones, silence, and a view that forgives every climb.",caronia;village;historic;mountain;view,https://it.wikipedia.org/wiki/Caronia_Superiore,
Caronia,Parco dei Nebrodi (north sector),38.033,14.46,"Forested highlands of Sicily’s largest park; boar, beech, and fog.","The air is cold, the silence ancient.",caronia;park;forest;hiking;nature,https://en.wikipedia.org/wiki/Nebrodi,
Castelbuono,Centro Storico,37.933,14.089,"Mountain town in the Madonie, rich in pastries and tradition.","Hazelnuts, honey, and church bells — civilization in edible form.",castelbuono;village;mountain;historic;gastronomy,https://en.wikipedia.org/wiki/Castelbuono,
Castelbuono,Castello dei Ventimiglia,37.933,14.092,"Medieval castle dominating the skyline, home to relics and festivals.",Stone and pride hold equal weight here.,castelbuono;castle;heritage;landmark;culture,https://en.wikipedia.org/wiki/Castello_dei_Ventimiglia,
Castelbuono,San Guglielmo,37.928,14.091,Monastery and pilgrimage site in wooded hills outside the town.,A road of faith and fig trees.,castelbuono;monastery;spiritual;forest;heritage,MISSING,
Castelbuono,Contrada Liccia,37.937,14.081,Countryside dotted with olive groves and small farms.,The landscape smells of work and reward.,castelbuono;countryside;olive;farm;authentic,MISSING,
Castelbuono,Piano Sempria,37.9369,14.0856,"High meadow on the slopes of the Madonie, quiet and green.","Wind, bells, and the promise of rain.",castelbuono;meadow;mountain;pastoral;nature,MISSING,
Castellammare del Golfo,Centro Storico,38.03,12.882,Charming harbor town with pastel houses and lively piazzas.,"Fish, laughter, and sunlight stitched together with salt.",castellammare;harbor;historic;seafood;romantic,https://en.wikipedia.org/wiki/Castellammare_del_Golfo,
Castellammare del Golfo,Cala Marina,38.029,12.883,Waterfront promenade lined with boats and bars.,"Moorings clink, glasses clink louder.",castellammare;seafront;dining;nightlife;harbor,MISSING,
Castellammare del Golfo,Fraginesi,38.042,12.844,Countryside of olive trees and stone villas west of town.,Cicadas and distant church bells — Sicilian minimalism.,castellammare;countryside;olive;quiet;authentic,MISSING,
Castellammare del Golfo,Alcamo Marina (border zone),38.02,12.955,Long sandy stretch connecting two towns; simple beach life and sunsets.,"Umbrellas, laughter, and the smell of fried calamari.",castellammare;beach;coastal;sunset;family,MISSING,
Castellammare del Golfo,Scopello (district),38.07021,12.808,"Historic village above the coast, gateway to Zingaro Reserve.","Stone arches, slow meals, and sea as religion.",castellammare;village;heritage;sea;reserve,"https://en.wikipedia.org/wiki/Scopello,_Sicily",
Castellammare del Golfo,Guidaloca,38.056607,12.840117,Pebble beach between cliffs; clear turquoise water beloved by locals.,"Children dive, parents shout, and everyone forgives everything by noon.",castellammare;beach;swimming;family;local-favorite,https://it.wikipedia.org/wiki/Spiaggia_di_Guidaloca,
Catania,Borgo-Sanzio,37.523,15.075,Elegant residential district with cafés and tree-lined streets.,"Morning pastries, measured steps, and the sound of church bells keeping time.",catania;neighborhood;residential;cafe;local-life,MISSING,
Catania,Ognina,37.528,15.112,Small harbor and seaside promenade northeast of the city.,Salt spray on the railings and the comfort of boats that never seem to leave.,catania;harbor;seafront;local-life;sunset,"https://en.wikipedia.org/wiki/Ognina,_Catania",
Catania,San Giovanni Li Cuti,37.526,15.108,Tiny black-sand beach formed from lava rock; local favorite in summer.,"Kids diving between fishing boats, laughter louder than the waves.",catania;beach;lava;local-favorite;summer,https://en.wikipedia.org/wiki/San_Giovanni_Li_Cuti,
Catania,Playa di Catania,37.463,15.081,"Wide sandy beach stretching south of town — palms, umbrellas, and chaos.","Music, sunscreen, and arguments that end in gelato.",catania;beach;urban;summer;nightlife,https://it.wikipedia.org/wiki/Playa_di_Catania,
Catania,Picanello,37.523,15.102,"Busy local quarter of Catania; dense, authentic, full of noise and smell of bread.",The kind of place where you find both chaos and kindness within the same minute.,catania;neighborhood;local-life;urban;authentic,MISSING,
Catania,Nesima,37.515,15.045,"Residential hill district west of the center; less tourist, more real.","Scooters climb, balconies shout, life refuses to slow down.",catania;suburb;authentic;hill;urban,MISSING,
Catania,Librino,37.474,15.051,"Modern outskirts of Catania; murals, concrete, and community pride.","Beauty hidden under graffiti and sun — imperfect, alive.",catania;urban;modern;streetart;local-life,https://en.wikipedia.org/wiki/Librino,
Cefalà Diana,Bagni Termali di Cefalà,37.916,13.467,"Ancient Arabic thermal baths, still warm, still whispering steam.",You can almost hear the old prayers rise with the vapor.,cefaladiana;spa;arabic;heritage;relax,https://en.wikipedia.org/wiki/Cefal%C3%A0_Diana,
Cefalà Diana,Contrada Chiusa,37.9196,13.4657,"Rural district surrounding the old town, olive trees and dust roads.",Afternoons where even the flies seem contemplative.,cefaladiana;countryside;olive;quiet;authentic,MISSING,
Cefalù,Centro Storico,38.037,14.021,"Medieval seaside town of narrow alleys, Norman cathedral and golden light.",The sound of waves under church bells — Sicily at its most cinematic.,cefalu;historic;seaside;cathedral;heritage,https://en.wikipedia.org/wiki/Cefal%C3%B9,
Cefalù,Rocca di Cefalù,38.041,14.025,"Massive limestone rock rising over the town, with ruins and views.","A climb, a sweat, a view that forgives everything.",cefalu;hiking;view;landmark;nature,https://en.wikipedia.org/wiki/Rocca_di_Cefal%C3%B9,
Cefalù,Contrada Kalura,38.043,14.047,Quiet bay east of town with turquoise water and rocky terraces.,The sea hums like a cello beneath the cliffs.,cefalu;coast;swim;quiet;romantic,MISSING,
Cefalù,Mazzaforno,38.018,14,Coastal area west of town with villas and hidden beaches.,"Pine needles, perfume, and someone grilling fish nearby.",cefalu;beach;villa;relax;local-life,MISSING,
Cefalù,Sant’Ambrogio,38.05,14.103,Tiny fishing hamlet east of Cefalù; tranquil and timeless.,"A trattoria, three cats, and the kind of quiet that feels earned.",cefalu;fishing-village;authentic;coastal;quiet,MISSING,
Cefalù,Ogliastrillo,38.02604,13.98272,"Small rural area inland from Cefalù, olive groves and low hills.",The wind smells of hay and oil and Sunday rest.,cefalu;countryside;olive;village;quiet,MISSING,
Comiso,Centro Storico,36.949,14.609,Baroque town square lined with churches and cafés; quiet elegance.,"Porches, espresso, and the echo of laughter against stone.",comiso;historic;baroque;city-center;heritage,https://en.wikipedia.org/wiki/Comiso,
Comiso,Quartiere San Biagio,36.948,14.611,"Residential district near the heart of town, with old charm intact.",Balconies dripping with flowers and gossip.,comiso;neighborhood;local-life;baroque;authentic,MISSING,
Comiso,Pedalino,36.964,14.589,Flat agricultural area south of town; grapes and windmills.,"Endless rows, slow tractors, and the smell of wine and dust.",comiso;agriculture;vineyard;quiet;countryside,https://it.wikipedia.org/wiki/Pedalino,
Comiso,Contrada Cifali,36.9529,14.588,Rural surroundings dotted with olive trees and white stone walls.,Even the shadows take their time here.,comiso;countryside;olive;quiet;authentic,MISSING,
Donnafugata,Parco di Donnafugata,36.916,14.561,Parkland of pines and citrus trees surrounding the castle.,"Lizards, shade, and the scent of forgotten summers.",donnafugata;park;garden;historic;relax,https://en.wikipedia.org/wiki/Castello_di_Donnafugata,
Donnafugata,Contrada Camemi,36.913,14.563,Small rural district west of the estate; dry fields and fig trees.,You can almost hear the figs ripen.,donnafugata;rural;agriculture;fig;quiet,MISSING,
Donnafugata,Contrada Mazzone,36.9178,14.5526,Fertile plain used for crops and vineyards near the castle.,"Green vines, gold light, and peace that costs nothing.",donnafugata;countryside;vineyard;farm;authentic,MISSING,
Enna,Centro Storico,37.565,14.275,"Highland capital of Sicily; churches, arches, and sweeping views.",You look out and see half the island holding its breath.,enna;historic;hilltown;panorama;baroque,https://en.wikipedia.org/wiki/Enna,
Enna,Enna Alta,37.566,14.276,Upper old quarter with winding lanes and noble facades.,Stone that remembers everything — even the footsteps.,enna;historic;city-center;hill;heritage,MISSING,
Enna,Enna Bassa,37.555,14.286,"Modern university district below the old town; busy, youthful, loud.",The hum of scooters replaces church bells.,enna;modern;student;urban;contrast,https://it.wikipedia.org/wiki/Enna_Bassa,
Enna,Pergusa,37.53,14.325,"Crater lake south of Enna, natural reserve and mythic site of Persephone.","Still water, floating lilies, and stories too old to argue with.",enna;lake;nature;mythology;reserve,https://en.wikipedia.org/wiki/Lake_Pergusa,
Enna,Montesalvo,37.5648,14.2815,Hill and park area overlooking Enna; quiet walks and long horizons.,The city sighs below; you keep walking anyway.,enna;hill;park;view;relax,MISSING,
Erice,Borgo Medievale (summit),38.038,12.587,Medieval hilltop village wrapped in fog and cobblestone magic.,The scent of almonds and mystery in every corner.,erice;historic;hilltown;fog;heritage,https://en.wikipedia.org/wiki/Erice,
Erice,Pizzolungo,38.045,12.572,"Seaside district below Erice; villas, beaches, and bright horizons.",You descend from clouds to sun and salt.,erice;seaside;villa;relax;view,https://it.wikipedia.org/wiki/Pizzolungo_(Erice),
Erice,Martogna,38.028,12.56,Wooded area on the slopes of Erice; paths and picnic spots under pines.,The air smells of resin and quiet.,erice;forest;hiking;nature;family,MISSING,
Erice,Montagna di Erice,38.0302,12.583,Mountain overlooking Trapani and the sea — timeless and vast.,Fog curls like incense over stone and sky.,erice;mountain;view;hiking;landmark,MISSING,
Erice,Casa Santa,38.0287,12.5614,"Lower part of Erice near Trapani; lively, local, full of life and traffic.","Noisy, warm, and endlessly human.",erice;neighborhood;urban;local-life;coastal,https://it.wikipedia.org/wiki/Casa_Santa_(Erice),
Favignana,Cala Rossa,37.926,12.327,Dramatic turquoise cove framed by tufa cliffs; the island’s postcard soul.,"Stone bleached by sun, water like glass, and silence that feels sacred.",favignana;cove;beach;swimming;iconic,https://en.wikipedia.org/wiki/Favignana,
Favignana,Lido Burrone,37.916,12.328,"Longest beach on the island, soft sand and shallow sea; families and joy.","Children scream, waves giggle, time smiles.",favignana;beach;family;relax;summer,https://it.wikipedia.org/wiki/Lido_Burrone,
Favignana,Punta Sottile,37.908,12.305,Remote western point with lighthouse and endless horizon.,"The sea here is an idea, not a place.",favignana;lighthouse;view;photography;solitude,https://it.wikipedia.org/wiki/Punta_Sottile,
Favignana,Cala Azzurra,37.917,12.329,"Blue bay with crystal water, perfect for swimming and sun-watching.","The color is not blue, it’s happiness distilled.",favignana;cove;snorkeling;romantic;local-favorite,MISSING,
Favignana,Bue Marino,37.915,12.334,Rocky inlet named after sea oxen; deep clear water and old tufa caves.,You dive where quarrymen once worked — the sea reclaimed its sculpture.,favignana;sea;cave;diving;heritage,MISSING,
Favignana,Grotta Perciata,37.917,12.333,Natural arch and cave carved by wind and salt.,"A cathedral of air, where sunlight becomes holy.",favignana;cave;natural;photography;romantic,MISSING,
Filicudi,Filicudi Porto,38.579,14.571,"Main harbor of Filicudi, few houses, infinite calm.","One boat leaves, no one cares.",filicudi;harbor;island;aeolian;quiet,https://en.wikipedia.org/wiki/Filicudi,
Filicudi,Pecorini a Mare,38.563,14.559,"Tiny seaside hamlet, fishermen and barefoot evenings.","Dinner is caught, cooked, and forgotten before the stars arrive.",filicudi;village;fishing;seaside;authentic,https://it.wikipedia.org/wiki/Pecorini_a_Mare,
Filicudi,Val di Chiesa,38.578,14.575,High valley with olive trees and ruins of stone houses.,Wind whistles like a prayer over the terraces.,filicudi;mountain;village;countryside;olive,MISSING,
Filicudi,Montagnola,38.58,14.565,Quiet upland with views toward Alicudi; paths and solitude.,The horizon feels personal here.,filicudi;mountain;hiking;view;solitude,MISSING,
Filicudi,Zucco Grande,38.575,14.568,"Abandoned hamlet on a slope — ghosts, goats, and beauty.",Where silence built its own village.,filicudi;ruins;historic;village;wild,MISSING,
Filicudi,Capo Graziano,38.57,14.578,Bronze Age site and panoramic promontory; history meets sea.,Waves applaud the centuries.,filicudi;archaeology;view;heritage;sea,https://en.wikipedia.org/wiki/Capo_Graziano,
