main,sub,category,name,lat,lon,short_desc,tucci_story,tags,source_url
Palermo,Ballarò,cafe,Bar Di Maria Agata,38.1194,13.3578,"Small espresso bar in the Ballarò market, popular with locals.",The smell of market produce and roasting beans collide each morning.,cafe;local;breakfast;family-run,https://verynicetravels.com/italy/2020/1/12/coffee-food-and-drinks-in-palermo/
Palermo,Centro Storico,cafe,Ideal Caffè Stagnitta,38.1180,13.3610,"Historic coffee house since 1922, near Discesa dei Giudici.","Sit down, feel wood-panels and espresso with decades of Palermo life.",cafe;local;coffee;heritage,https://italysegreta.com/the-hip-locals-guide-to-palermo/
Palermo,Libertà,cafe,Pasticceria Cappello,38.1240,13.3432,Famous for Setteveli cake and other chocolate classics.,Sweet ambition wrapped in Sicilian precision.,cafe;pasticceria;local;legendary,https://goo.gl/maps/tRz3LRK6ukR2
Palermo,Politeama,cafe,Pasticceria Costa,38.1235,13.3557,Iconic pastry shop known for cassata and cannoli.,The kind of sugar that should be served with confession.,cafe;pasticceria;heritage;local,https://goo.gl/maps/hXy3Yb5Ab2T2
Palermo,Vucciria,cafe,Caffè del Kassaro,38.1198,13.3590,Tiny espresso bar at the edge of Vucciria market.,"The coffee is rough, real, and better for it.",cafe;local;heritage;espresso,https://goo.gl/maps/ABp4bL5UjFv6hEVK8
Palermo,La Loggia,cafe,Antico Caffè Spinnato,38.1211,13.3573,Historic 1860 café serving pastries and gelato.,"Marble tables, sugar, and slow conversation — Palermo’s heartbeat.",cafe;historic;pasticceria;heritage,https://goo.gl/maps/hV7afgDPM9E2
Palermo,Centro Storico,cafe,Caffè Vabres,38.1330,13.3570,Classic café by the botanical gardens with sweet pastries.,"Morning light, ricotta, and espresso — a small symphony.",cafe;local;bakery;heritage,https://katieparla.com/city-guides/palermo/
Palermo,Cattedrale,cafe,Caffè Santoro,38.1179,13.3582,Local café opposite the cathedral.,"Bells ring, spoons clink — faith and caffeine intertwined.",cafe;local;heritage;central,https://goo.gl/maps/Mz1SxB5HY7A2
Palermo,Centro Storico,cafe,Caffetteria L’Anciova,38.1172,13.3624,Small modern espresso stop with outdoor tables.,"New machines, old manners, and perfect crema.",cafe;modern;espresso;local,https://goo.gl/maps/VfGPCGzxCNu
Palermo,Centro Storico,cafe,Bar Rosanero,38.1178,13.3620,"Local haunt of Palermo football fans, simple and proud.","Coffee, pride, and arguments — the city distilled.",cafe;local;sport;heritage,https://goo.gl/maps/2tvxj2Zrcvk
