id,main,sub,category,name,lat,lon,street_address,short_desc,tucci_story,tags,source_url,quirk_level,
aci_castello_cannizzaro_01,Aci Castello,Centro Storico,landmark,Castello Normanno di Aci Castello,37.5573,15.1516,"Piazza Castello, 95021 Aci Castello CT, Italy",Medieval Norman castle built on volcanic rock overlooking the Ionian Sea.,"Sea spray on basalt walls, and gulls tracing circles above old stone.",acicastello;castle;historic;sea;view,https://en.wikipedia.org/wiki/Aci_Castello,5,
aci_castello_capo_mulini_01,Aci Castello,Aci Trezza,natural,Faraglioni dei Ciclopi,37.5611,15.1619,"Via Lungomare dei Ciclopi, 95021 Aci Trezza CT, Italy",Iconic sea stacks tied to Homer’s Odyssey; volcanic columns rising from turquoise water.,"The sea here feels alive, whispering myths older than the island itself.",acitrezza;rocks;myth;volcanic;scenic,https://en.wikipedia.org/wiki/Aci_Trezza,5,
aci_castello_centro_storico_01,Acireale,Centro Storico,landmark,Duomo di Acireale,37.6128,15.165,"Piazza del Duomo, 95024 Acireale CT, Italy","Baroque cathedral overlooking the main piazza, known for its marble façade and frescoed dome.","Church bells echo through the square, mixing with the hiss of espresso machines.",acireale;historic;baroque;cathedral;culture,https://en.wikipedia.org/wiki/Acireale_Cathedral,5,
aci_castello_centro_storico_cafe_del_castello,Adrano,Castello Normanno,castle,Castello Normanno di Adrano,37.6643,14.8341,"Piazza Umberto I, 95031 Adrano CT, Italy",Imposing 11th-century Norman fortress built by Count Ruggero.,"Basalt walls glowing red at sunset, and history breathing through thick stone.",adrano;castle;heritage;norman;landmark,https://en.wikipedia.org/wiki/Adrano_Castle,5,
aci_castello_centro_storico_trattoria_santa_maura,Agrigento,Centro Storico,cathedral,Cattedrale di San Gerlando,37.3122,13.5764,"Piazza Don Minzoni, 92100 Agrigento AG, Italy",12th-century cathedral with Norman-Gothic features and a panoramic terrace.,The bells echo over tiled rooftops and orange trees hum quietly in the wind.,agrigento;cathedral;historic;view;heritage,https://en.wikipedia.org/wiki/Agrigento_Cathedral,5,
aci_castello_ficarazzi_01,Alicudi,Alicudi Porto,harbor,Alicudi Porto,38.548,14.351,"Via Porto, 98050 Alicudi ME, Italy",Small stone harbor and the island’s lifeline to the world.,"Boats sigh against the pier, and crates of lemons change hands like secrets.",alicudi;harbor;island;arrival;authentic,https://en.wikipedia.org/wiki/Alicudi,4,
aci_trezza_bar_lava_rock,Bagheria,Aspra,harbor,Porto di Aspra,38.1048,13.4988,"Via Lungomare, 90011 Aspra PA, Italy","Fishing port east of Palermo, known for sardines and sea air.",Boats rock like old men telling stories they’ll never finish.,bagheria;harbor;fishing;seafood;authentic,https://en.wikipedia.org/wiki/Aspra,3,
aci_trezza_faraglioni_01,Augusta,Isola di Augusta,historic,Isola di Augusta (Old Town),37.236,15.223,"Via Principe Umberto, 96011 Augusta SR, Italy",Historic fortified island connected by bridges to the mainland.,The sea slaps the walls and fishermen argue about the weather like poets.,augusta;historic;island;city-center;heritage,"https://en.wikipedia.org/wiki/Augusta,_Sicily",4,
aci_trezza_gelateria_lacchea,Avola,Avola Antica,ruins,Avola Antica,36.925,15.083,"Contrada Avola Antica, 96012 Avola SR, Italy",Ruins of the original Avola destroyed by the 1693 earthquake.,The wind hums through broken walls where time lost interest in progress.,avola;ruins;heritage;historic;baroque,https://en.wikipedia.org/wiki/Avola,5,
aci_trezza_trattoria_gambero_rosso,Caltagirone,Santo Pietro,park,Bosco di Santo Pietro,37.10193,14.46125,"Bosco di Santo Pietro, SP63, 95041 Caltagirone (CT)",Large Mediterranean woodland and reserve south of town.,"Resin, cicadas, and sandy trails that quiet the mind.",park;forest;hiking;reserve,https://en.wikipedia.org/wiki/Bosco_Santo_Pietro;https://mapcarta.com/N7879989310,4,
